CEDULA;NOMBRE_ESTUDIANTE;PUNT_LECTURA_CRITICA;PERCENTIL_LECTURA_CRITICA;PUNT_MATEMATICAS;PERCENTIL_MATEMATICAS;PUNT_C_NATURALES;PERCENTIL_C_NATURALES;PUNT_SOCIALES_CIUDADANAS;PERCENTIL_SOCIALES_CIUDADANAS;PUNT_INGLES;PERCENTIL_INGLES;PUNT_GLOBAL;PERCENTIL_GLOBAL
86561805;Gabriel Martínez;64;88;58;73;59;84;51;60;47;57;286;77
69126877;Sebastián Sánchez;44;22;51;51;48;53;42;35;37;19;228;37
89444846;Gabriel Ramírez;42;17;42;24;44;38;46;47;37;18;215;28
51642687;Alejandro Flores;55;60;47;37;54;71;40;28;50;67;245;50
44394735;Ángel Torres;51;47;47;39;36;13;50;57;46;55;230;39
66411287;Santiago Flores;67;93;70;96;50;58;68;95;54;80;315;91
10945238;Ángel Rodríguez;55;60;60;78;61;89;65;91;53;78;298;84
86840121;Gabriel González;54;57;43;25;57;79;41;32;76;98;254;57
70614794;Nicolás González;57;69;60;78;48;52;60;82;62;89;283;76
41131986;Sebastián Sánchez;46;30;38;14;42;30;44;39;48;63;215;27
65468981;Samuel Sánchez;54;55;57;70;55;74;49;56;39;24;263;63
16842344;Gabriel López;33;3;30;3;31;4;30;5;34;9;156;1
9773357;Alejandro Flores;49;38;44;28;45;41;39;27;50;70;223;34
70829664;Gabriel Torres;41;15;25;1;31;4;38;21;33;6;168;3
36916624;Gabriel Ramírez;53;52;53;58;49;54;39;25;41;32;240;46
54500602;Alejandro Flores;44;23;44;30;48;51;43;39;47;57;225;35
33625580;David Torres;45;26;46;35;41;27;54;68;43;43;231;40
66590265;Sebastián Sánchez;41;15;39;16;39;21;42;35;33;7;198;17
13490216;Daniel Sánchez;34;4;20;1;36;14;35;14;45;49;162;2
7036440;David Rodríguez;57;66;47;38;45;40;41;33;56;83;241;47
29798651;David González;59;75;56;66;49;56;53;64;53;77;271;68
78197021;Alejandro Rodríguez;49;40;46;36;40;25;37;19;40;28;214;27
12051038;Sebastián Sánchez;63;86;58;74;62;90;47;48;51;71;285;77
3116787;David González;59;75;59;74;57;81;50;58;57;84;282;75
51642599;Mateo Pérez;63;86;42;25;51;61;43;38;52;74;250;53
36031809;Daniel Rodríguez;40;13;44;29;38;18;30;5;45;49;193;13
55828023;Mateo González;46;30;35;9;39;20;44;40;45;50;207;22
25872037;David Ramírez;49;40;55;63;47;49;61;84;51;71;264;64
48841769;Ángel Rodríguez;44;23;64;87;41;26;28;3;54;79;225;35
39142785;Sebastián Rodríguez;33;3;40;19;42;31;26;2;40;27;178;6
71486937;Alejandro Sánchez;48;34;46;35;40;25;40;29;45;48;218;30
69951427;Santiago Torres;40;12;39;16;37;15;31;6;44;45;187;10
93470830;Samuel López;63;85;33;6;41;28;46;45;42;35;227;37
45633621;Daniel Ramírez;57;66;41;20;48;52;54;69;54;79;252;55
49145322;Gabriel Sánchez;44;22;48;40;43;34;31;7;38;21;206;22
11251790;Samuel Sánchez;42;18;48;39;61;89;50;56;43;40;248;52
19135195;Samuel García;59;76;50;45;52;65;65;91;56;83;282;75
62104143;Samuel González;39;12;60;79;52;64;51;60;56;82;255;57
81959094;Ángel Flores;59;73;60;78;54;71;50;56;50;69;277;72
63880521;Samuel Rodríguez;60;77;50;48;33;6;58;78;45;49;249;53
65096258;Nicolás Martínez;49;38;50;47;55;74;55;71;40;27;257;58
57912236;Sebastián Rodríguez;41;16;55;63;33;6;41;31;31;3;208;23
65291676;Alejandro Sánchez;47;32;59;75;56;77;53;64;47;58;266;65
12589073;Sebastián Pérez;61;82;63;86;62;90;59;81;63;90;307;88
22198181;Alejandro Flores;52;50;50;47;51;62;43;38;41;31;242;48
19409290;David López;71;98;78;100;71;99;76;100;68;94;368;100
36222177;Alejandro López;58;69;50;48;52;64;58;77;59;87;274;70
76093089;Gabriel Flores;41;16;44;30;32;5;31;6;36;16;185;9
61470589;Ángel García;56;65;48;39;52;64;49;54;47;58;255;57
39093480;David Sánchez;47;31;49;45;46;43;41;31;55;81;232;40
13712664;Daniel Pérez;51;44;49;43;50;59;47;50;51;72;247;51
71128865;Daniel García;56;64;51;50;51;61;51;59;73;97;269;67
14037409;David Sánchez;73;99;61;80;57;80;55;69;75;98;313;90
30097133;David López;33;3;41;20;40;24;30;5;40;28;182;8
2777871;Ángel García;51;44;58;72;55;75;46;46;49;65;261;62
60740999;Nicolás Pérez;51;43;54;60;36;14;42;33;49;65;230;39
17830976;Gabriel Pérez;54;55;36;11;46;45;44;40;50;69;227;36
66818989;Mateo Martínez;56;63;59;75;49;55;46;45;60;88;265;64
19255660;Sebastián Martínez;35;5;38;14;37;15;32;9;45;50;181;7
20136871;Nicolás Ramírez;41;15;41;20;44;36;52;61;47;58;223;34
74867274;Santiago Sánchez;49;37;45;31;41;29;33;11;47;58;212;25
28289705;David García;51;46;43;27;51;63;50;56;42;38;241;47
10349929;Daniel López;51;46;56;67;47;48;39;26;45;51;240;46
97017115;Daniel Ramírez;45;27;43;25;48;51;47;50;47;56;229;38
54865302;Sebastián Sánchez;55;62;71;96;57;81;60;83;47;57;298;84
15154176;Samuel Martínez;51;46;54;60;51;60;42;35;52;75;248;52
44350112;Daniel Flores;52;50;46;35;42;32;54;68;37;18;238;45
21947955;Santiago Martínez;59;72;51;51;56;78;59;81;47;59;278;73
33854189;Samuel López;60;78;57;68;57;80;60;83;67;94;296;83
4453739;Nicolás Ramírez;47;32;38;14;44;39;45;42;33;5;213;27
53678410;Daniel Flores;62;82;59;74;44;38;51;59;57;85;271;68
10101436;David Ramírez;43;21;39;16;47;47;48;50;47;57;222;33
21712855;Samuel Torres;46;27;39;15;39;21;42;35;42;36;208;23
39966626;Nicolás González;52;48;39;15;40;24;47;49;44;46;222;33
69138924;Samuel Flores;60;78;62;82;52;64;62;86;53;77;293;81
60862519;Mateo Flores;49;40;49;42;42;29;44;41;44;44;229;38
36196229;Nicolás López;51;47;60;77;57;79;46;47;51;72;267;65
2078282;Santiago Martínez;38;9;29;3;38;18;40;28;35;10;181;7
14374404;Sebastián Sánchez;57;66;58;71;44;38;50;56;52;73;261;62
58990609;Ángel López;63;85;46;35;50;57;57;76;60;88;272;69
82173835;Nicolás Rodríguez;55;60;56;65;35;11;45;43;46;56;238;45
2715154;David Ramírez;46;27;32;5;45;40;39;26;41;34;203;19
19130746;Daniel Sánchez;59;76;74;99;50;59;60;83;40;29;296;83
70950207;Mateo González;68;95;66;91;56;75;54;68;44;44;298;84
6441672;Gabriel Ramírez;59;73;55;63;57;79;48;51;53;78;273;70
2251611;Gabriel González;71;98;68;93;78;100;74;99;61;89;359;99
32677584;Santiago Flores;56;65;45;31;49;55;56;72;51;72;257;59
66481553;Ángel López;43;19;42;24;41;29;48;52;32;5;213;26
34366872;Samuel Rodríguez;46;29;38;15;50;57;39;26;71;96;227;36
65372307;Ángel López;57;69;60;78;56;78;51;60;55;81;280;74
59622982;Samuel Martínez;47;32;54;59;53;67;41;30;39;23;240;46
42551490;Samuel Rodríguez;65;90;67;91;63;92;66;93;65;92;326;94
80067082;Sebastián Martínez;60;76;49;42;44;37;52;62;46;55;254;57
48408874;Alejandro Rodríguez;47;30;46;35;41;28;42;33;34;8;216;28
89142321;Alejandro López;60;78;38;14;43;33;52;62;57;85;245;50
31550494;David López;53;51;36;11;46;45;39;26;33;7;213;27
18253586;Mateo López;50;42;59;75;61;87;54;69;57;85;280;74
45309572;Daniel Flores;56;64;52;54;64;93;53;66;52;75;280;74
22907861;Nicolás Torres;60;78;62;82;50;58;57;75;41;33;280;74
38027627;Mateo López;47;30;45;32;31;3;35;13;45;51;200;17
91530355;Sebastián González;38;8;36;11;41;26;36;16;45;50;192;13
69463928;Sebastián Flores;61;80;65;88;61;88;58;78;60;88;306;87
25701728;Alejandro López;34;4;31;4;36;13;34;12;43;40;172;4
61252821;Nicolás Sánchez;64;87;57;71;61;88;62;87;58;86;304;86
43900550;Nicolás Rodríguez;48;36;44;29;53;68;49;54;56;84;245;50
14142466;Ángel Ramírez;33;3;28;3;26;1;32;7;35;12;151;1
77018253;Samuel Martínez;52;49;58;72;52;66;52;63;59;87;270;67
79498087;Alejandro Torres;47;32;43;27;41;27;44;41;39;26;217;29
56503653;Santiago Ramírez;65;90;54;59;43;35;57;76;41;31;268;67
94200331;Ángel Ramírez;60;78;52;53;45;42;47;50;55;81;257;58
30800907;Nicolás Flores;47;32;39;15;33;6;34;11;50;68;196;15
89711864;Gabriel Rodríguez;56;64;53;58;50;60;52;63;46;54;261;62
74143731;Santiago Torres;53;54;32;5;41;28;45;42;31;3;209;24
16726301;Daniel Torres;50;43;43;25;43;35;40;27;41;31;219;30
41272922;Santiago González;33;3;24;1;32;5;37;21;40;30;161;2
86721733;Sebastián González;67;94;71;96;65;94;69;96;51;72;333;96
28458528;Ángel González;51;44;46;35;46;46;50;57;46;56;240;46
63499698;Santiago López;41;15;42;23;34;9;39;26;38;21;195;14
93412578;Daniel Flores;45;25;56;66;46;45;37;20;30;2;224;34
46738511;Samuel Torres;41;14;32;5;31;4;41;30;30;2;179;6
43757419;Santiago Ramírez;47;33;48;41;48;50;48;50;43;40;237;44
44302698;Gabriel García;65;90;46;33;46;45;54;68;51;72;263;63
28376947;Alejandro Torres;53;53;53;58;53;68;54;68;48;60;264;64
32631096;Mateo Sánchez;55;61;46;33;58;81;49;54;39;27;255;57
3723804;Samuel Martínez;54;58;45;32;42;31;40;30;41;33;225;35
